City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Laranjeiras Do Sul,-25.4078,-52.4161,62.13,76,100,2.93,light rain
261,Zhangjiakou,40.81,114.8794,49.71,29,100,0.81,overcast clouds
262,Hamilton,39.1834,-84.5333,50.59,84,90,1.99,overcast clouds
263,Broken Hill,-31.95,141.4333,91.13,25,71,28.86,broken clouds
264,Shelburne,44.0787,-80.2041,49.77,85,2,5.82,clear sky
265,Teguldet,57.3064,88.1667,26.13,74,10,6.49,clear sky
266,Marystown,47.1666,-55.1483,44.85,100,100,8.99,overcast clouds
267,Lockhart,28.6194,-81.4426,71.8,73,1,0.0,clear sky
268,Innisfail,-17.5333,146.0333,93.87,52,5,8.03,clear sky
269,Atar,20.5169,-13.0499,79.05,48,100,5.48,overcast clouds
270,Pombas,17.1503,-25.0201,74.98,82,100,11.7,overcast clouds
271,San Andres,12.5847,-81.7006,84.22,84,40,4.61,scattered clouds
272,Kralendijk,12.15,-68.2667,80.58,89,20,16.11,few clouds
273,Rocky Mountain House,52.3668,-114.9188,46.51,34,99,13.8,overcast clouds
274,San Patricio,28.017,-97.5169,77.83,30,0,11.52,clear sky
275,Plettenberg Bay,-34.0527,23.3716,65.98,89,100,4.61,overcast clouds
276,Ponta Delgada,37.7333,-25.6667,68.72,77,20,13.8,few clouds
277,Alta Gracia,-31.6529,-64.4283,80.89,26,99,3.74,overcast clouds
278,Obo,5.3998,26.4869,69.37,88,14,0.25,few clouds
279,Nador,35.174,-2.9287,64.65,82,75,6.91,broken clouds
280,Bati,11.1833,40.0167,61.07,47,10,4.7,clear sky
281,Grand Gaube,-20.0064,57.6608,70.38,73,0,1.01,clear sky
282,Tefe,-3.3542,-64.7114,74.03,99,100,0.92,overcast clouds
283,Provideniya,64.3833,-173.3,21.31,58,75,2.24,broken clouds
284,Camana,-16.6228,-72.7111,66.25,77,27,6.15,scattered clouds
285,North Battleford,52.7834,-108.2847,44.69,53,1,9.22,clear sky
286,Airai,-8.9266,125.4092,74.91,51,97,3.06,overcast clouds
287,Dhidhdhoo,6.8833,73.1,81.01,78,100,7.47,overcast clouds
288,Grindavik,63.8424,-22.4338,37.87,87,0,11.5,clear sky
289,Hay River,60.8156,-115.7999,37.38,87,75,2.3,light intensity drizzle
290,Kampene,-3.6,26.6667,67.3,99,96,0.25,light rain
291,Sungairaya,0.7,108.9,82.45,76,99,3.06,light rain
292,Smithers,54.7804,-127.1743,41.32,65,40,0.0,scattered clouds
293,Iracoubo,5.4802,-53.2011,78.49,87,18,7.99,few clouds
294,Kulhudhuffushi,6.6221,73.07,80.74,78,100,6.26,overcast clouds
295,London,51.5085,-0.1257,58.55,88,40,8.05,scattered clouds
296,Allapalli,19.4167,80.0667,64.53,80,18,3.62,few clouds
297,Leninogorsk,54.6026,52.4609,34.48,62,100,18.28,overcast clouds
298,Indian Trail,35.0768,-80.6692,56.53,82,1,0.0,clear sky
299,Chenzhou,25.8,113.0333,61.83,85,98,2.84,overcast clouds
300,Sur,22.5667,59.5289,76.42,68,0,6.8,clear sky
301,Santa Rosa,14.3122,121.1114,85.1,71,57,13.31,broken clouds
302,Naushki,50.3828,106.1056,38.86,68,45,1.97,scattered clouds
303,Alugan,12.2188,125.4808,81.45,81,99,5.55,overcast clouds
304,Elko,41.0002,-115.5012,52.23,60,11,3.0,few clouds
305,Puerto Carreno,6.189,-67.4859,74.8,93,98,2.21,overcast clouds
306,Bathsheba,13.2167,-59.5167,81.21,74,20,13.8,few clouds
307,Barranco,9.5167,-82.7,77.99,90,100,0.69,overcast clouds
308,Ekhabi,53.5102,142.9671,41.02,84,100,11.81,overcast clouds
309,Ucluelet,48.9329,-125.5528,52.11,88,100,3.76,overcast clouds
310,Saldanha,-33.0117,17.9442,60.85,97,20,9.62,few clouds
311,Fiditi,7.7136,3.9172,72.07,98,45,3.71,scattered clouds
312,Merauke,-8.4667,140.3333,88.03,60,17,10.11,few clouds
313,Sapulpa,35.9987,-96.1142,55.11,89,90,6.91,overcast clouds
314,Axim,4.8699,-2.2405,76.86,90,17,5.77,light rain
315,Dunedin,-45.8742,170.5036,60.64,74,3,15.43,clear sky
316,Geraldton,-28.7667,114.6,66.61,48,90,13.8,overcast clouds
317,Aklavik,68.2191,-135.0107,29.12,93,84,1.39,broken clouds
318,Ilulissat,69.2167,-51.1,15.82,57,90,5.75,overcast clouds
319,Yerkoy,39.6381,34.4672,48.63,46,67,1.74,light rain
320,Kristiansund,63.1115,7.732,55.45,76,90,13.8,overcast clouds
321,Haines Junction,60.7522,-137.5108,31.95,74,100,1.14,overcast clouds
322,Nelson Bay,-32.7167,152.15,88.29,60,64,1.99,broken clouds
323,Klyuchi,52.2667,79.1667,27.16,51,13,5.97,few clouds
324,Puerto Del Rosario,28.5004,-13.8627,69.48,73,84,8.05,broken clouds
325,Tura,25.5198,90.2201,67.96,90,0,3.22,clear sky
326,Singaraja,-8.112,115.0882,83.97,68,100,1.16,overcast clouds
327,Dwarka,22.2394,68.9678,79.84,55,5,10.47,clear sky
328,Taltal,-25.4,-70.4833,64.62,65,22,2.48,few clouds
329,Erenhot,43.6475,111.9767,43.05,34,0,7.94,clear sky
330,Koumac,-20.5667,164.2833,80.08,70,22,9.48,few clouds
331,Issenye,-2.0,34.3333,65.37,73,41,3.98,scattered clouds
332,Mizdah,31.4451,12.9801,60.15,86,4,9.75,clear sky
333,Mongoumba,3.6415,18.5936,69.93,98,100,2.35,light rain
334,Bredasdorp,-34.5322,20.0403,61.92,94,100,1.14,overcast clouds
335,Nouadhibou,20.931,-17.0347,67.98,77,15,18.41,few clouds
336,Lasa,46.6166,10.7002,32.74,36,1,2.77,clear sky
337,Dunmore East,52.1514,-6.9861,58.68,78,100,12.73,light rain
338,Leh,34.1667,77.5833,21.9,63,0,4.36,clear sky
339,Gambela,8.25,34.5833,70.21,86,77,3.83,broken clouds
340,Hambantota,6.1241,81.1185,78.96,79,97,5.91,overcast clouds
341,Jibuti,11.5,42.5,76.42,63,6,11.36,clear sky
342,Broome,42.2506,-75.833,49.01,72,1,1.99,clear sky
343,San Pedro De Macoris,18.4616,-69.2972,78.93,74,97,8.7,overcast clouds
344,Picota,-6.9197,-76.3304,77.49,82,88,1.7,overcast clouds
345,Villarrica,-25.75,-56.4333,71.02,56,1,4.94,clear sky
346,Hami,42.8,93.45,47.46,35,57,2.75,broken clouds
347,Imbituba,-28.24,-48.6703,71.49,96,96,7.65,overcast clouds
348,Sao Paulo De Olivenca,-3.3783,-68.8725,73.51,96,100,1.83,overcast clouds
349,Coquimbo,-29.9533,-71.3436,55.13,87,0,3.44,clear sky
350,Churapcha,62.0025,132.4325,26.15,85,100,10.78,overcast clouds
351,Klaksvik,62.2266,-6.589,45.52,80,90,17.94,overcast clouds
352,Havoysund,70.9963,24.6622,27.48,70,0,22.59,clear sky
353,Champasak,14.75,106.0,76.08,97,98,3.0,overcast clouds
354,Yerbogachen,61.2767,108.0108,21.38,69,100,17.52,overcast clouds
355,San Martin,-33.081,-68.4681,79.34,21,84,5.5,broken clouds
356,Pisco,-13.7,-76.2167,62.02,82,0,14.97,clear sky
